證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1101,台泥,"11,365,000","482,729,950",42.65,42.70,42.20,42.65, 0.00,"4,893"
1101B,台泥乙特,"14,000","761,900",54.30,54.60,54.30,54.60,+0.10,7
1102,亞泥,"4,869,000","212,413,900",43.90,43.90,43.00,43.90, 0.00,"2,036"
1103,嘉泥,"616,000","9,834,000",16.05,16.05,15.80,16.05, 0.00,234
1104,環泥,"211,000","3,689,000",17.65,17.65,17.40,17.50,-0.05,96
1108,幸福,"508,000","4,517,900",8.91,8.98,8.83,8.97,+0.12,134
1109,信大,"94,000","1,634,650",17.50,17.50,17.30,17.40,+0.10,47
1110,東泥,"20,000","317,650",15.55,15.90,15.55,15.90,+0.55,12
1201,味全,"1,001,000","21,776,500",22.00,22.10,21.45,22.00,+0.05,536
1203,味王,"60,000","1,681,600",28.05,28.15,27.95,28.10,+0.05,31
1210,大成,"3,548,000","156,727,250",43.20,44.45,43.20,44.25,+1.05,"2,415"
1213,大飲,"1,000","6,030",6.03,6.03,6.03,6.03, 0.00,1
1215,卜蜂,"3,514,000","257,873,500",72.00,74.20,72.00,73.70,+2.20,"2,422"
1216,統一,"5,601,000","399,310,700",72.20,72.20,70.60,71.80,-0.10,"2,513"
1217,愛之味,"1,394,000","9,824,110",7.07,7.10,7.01,7.05,-0.02,465
1218,泰山,"1,901,000","44,796,650",24.00,24.00,23.30,23.90,+0.05,742
1219,福壽,"56,000","1,063,450",19.00,19.10,18.95,19.00,-0.05,35
1220,台榮,"717,000","7,757,350",10.70,11.00,10.65,10.80,+0.20,298
1225,福懋油,"127,000","4,670,650",36.90,36.90,36.60,36.80,+0.45,59
1227,佳格,"829,000","53,709,500",65.10,65.40,64.10,65.40,+0.40,573
1229,聯華,"1,609,000","67,084,800",41.55,41.95,41.35,41.85,+0.30,816
1231,聯華食,"111,000","4,596,750",41.50,41.65,41.05,41.50, 0.00,82
1232,大統益,"34,000","3,990,500",117.50,117.50,116.50,117.50, 0.00,20
1233,天仁,"30,000","1,073,800",35.90,36.10,35.50,35.70,+0.05,16
1234,黑松,"42,000","1,342,850",31.85,32.15,31.80,32.00,+0.25,34
1235,興泰,"7,000","181,350",25.80,26.20,25.80,25.85,+0.30,7
1236,宏亞,"37,000","439,850",11.80,11.95,11.80,11.90,+0.10,14
1256,鮮活果汁-KY,"34,000","6,959,500",203.50,207.00,201.00,207.00,+3.50,34
1301,台塑,"6,849,000","575,691,200",85.00,85.30,83.20,84.30,-0.70,"4,136"
1303,南亞,"4,448,000","273,865,800",62.90,62.90,60.80,62.10,-0.20,"2,718"
1304,台聚,"969,000","11,541,950",12.00,12.00,11.80,11.90, 0.00,464
1305,華夏,"2,922,000","55,768,050",19.20,19.35,18.95,19.00, 0.00,"1,226"
1307,三芳,"4,760,000","126,978,400",27.90,27.90,25.90,25.95,+0.40,"2,523"
1308,亞聚,"1,477,000","25,614,450",17.50,17.50,17.25,17.35,-0.05,605
1309,台達化,"21,596,000","277,969,650",12.45,13.30,12.45,12.75,+0.40,"6,727"
1310,台苯,"1,003,000","16,304,550",16.35,16.40,16.20,16.25, 0.00,374
1312,國喬,"6,048,000","86,670,250",14.55,14.55,14.15,14.35,-0.15,"2,129"
1312A,國喬特,0,0,0.00,0.00,0.00,0.00, 0.00,0
1313,聯成,"606,000","5,619,540",9.26,9.38,9.21,9.26,-0.01,191
1314,中石化,"10,036,000","83,438,990",8.39,8.39,8.23,8.31,+0.01,"2,233"
1315,達新,"1,182,000","65,952,500",56.10,56.40,55.20,56.20,+0.60,611
1316,上曜,"240,000","2,606,600",10.90,10.95,10.70,10.90,-0.05,103
1319,東陽,"953,000","35,660,800",37.70,37.80,36.95,37.40,-0.25,600
1321,大洋,"250,000","7,524,050",30.00,30.30,29.80,30.20,+0.35,116
1323,永裕,"79,000","2,615,550",33.05,33.20,33.00,33.20, 0.00,25
1324,地球,"150,000","1,456,690",9.67,9.76,9.58,9.71,+0.04,34
1325,恆大,"3,068,000","519,449,500",178.00,178.00,160.50,178.00, 0.00,"1,673"
1326,台化,"7,170,000","512,060,800",72.30,72.40,70.80,71.90,-0.30,"4,220"
1337,再生-KY,"3,436,000","18,419,250",5.09,5.52,5.04,5.27,+0.25,949
1338,廣華-KY,"206,000","10,620,000",51.90,52.20,51.00,52.00,+0.40,137
